Ticker,Pct Change,MarketCap,Weight,Weighted Change,GICS Sector
A,0.073065831,44151668736,0.000909155,6.64281E-05,Health Care
AAL,0.144721116,9080285184,0.000186978,2.70596E-05,Industrials
AAPL,1.658813551,2.91317E+12,0.059986952,0.099507169,Information Technology
ABBV,-0.758244022,2.77348E+11,0.005711037,-0.004330359,Health Care
ABNB,2.431939945,91715919872,0.00188858,0.004592913,Consumer Discretionary
ABT,-0.268642809,1.80835E+11,0.003723677,-0.001000339,Health Care
ACGL,1.40292387,38811062272,0.000799183,0.001121193,Financials
ACN,-1.614749309,1.89241E+11,0.003896783,-0.006292328,Information Technology
ADBE,-1.630424556,2.12993E+11,0.004385865,-0.007150822,Information Technology
ADI,-0.873978118,1.15375E+11,0.002375767,-0.002076369,Information Technology
ADM,-0.378787117,29908555776,0.000615866,-0.000233282,Consumer Staples
ADP,-1.029866611,1.01873E+11,0.002097721,-0.002160373,Industrials
ADSK,-0.125489993,45968195584,0.00094656,-0.000118784,Information Technology
AEE,-0.223781346,19024236544,0.00039174,-8.76641E-05,Utilities
AEP,-0.347219492,46898044928,0.000965707,-0.000335312,Utilities
AES,1.70233653,14860047360,0.000305993,0.000520902,Utilities
AFL,1.048632951,49827389440,0.001026027,0.001075926,Financials
AIG,0.580042456,51786010624,0.001066358,0.000618533,Financials
AIZ,1.367643625,8785080320,0.000180899,0.000247405,Financials
AJG,0.438313203,55079141376,0.001134169,0.000497121,Financials
AKAM,0.191571208,14339121152,0.000295266,5.65644E-05,Information Technology
ALB,3.773891423,14995269632,0.000308777,0.001165291,Materials
ALGN,1.279763753,19243507712,0.000396255,0.000507113,Health Care
ALL,0.512192889,43503747072,0.000895813,0.000458829,Financials
ALLE,0.855545357,10720230400,0.000220747,0.000188859,Industrials
AMAT,1.348934381,1.82891E+11,0.003766031,0.005080129,Information Technology
AMCR,0.607282037,14366679040,0.000295833,0.000179654,Materials
AMD,3.696321265,2.68889E+11,0.005536869,0.020466046,Information Technology
AME,0.544234851,40197079040,0.000827723,0.000450476,Industrials
AMGN,-0.215335616,1.64063E+11,0.00337833,-0.000727475,Health Care
AMP,1.570887348,43799298048,0.000901899,0.001416781,Financials
AMT,-0.35906399,86824656896,0.001787861,-0.000641956,Real Estate
AMZN,-0.165701766,1.88099E+12,0.038732702,-0.006418077,Consumer Discretionary
ANET,1.701935551,96061423616,0.001978061,0.003366532,Information Technology
ANSS,0.892800518,28905902080,0.00059522,0.000531412,Information Technology
AON,0.519159424,61043757056,0.00125699,0.000652578,Financials
AOS,0.844533231,12434682880,0.00025605,0.000216243,Industrials
APA,-0.542004895,10898197504,0.000224412,-0.000121632,Energy
APD,0.612161731,58824388608,0.00121129,0.000741505,Materials
APH,-0.117293556,81826299904,0.001684937,-0.000197632,Information Technology
APTV,2.827608753,22458720256,0.000462462,0.00130766,Consumer Discretionary
ARE,-0.1602115,20706148352,0.000426373,-6.83099E-05,Real Estate
ATO,-1.210630125,16990258176,0.000349857,-0.000423547,Utilities
AVB,0.71148153,27774613504,0.000571924,0.000406914,Real Estate
AVGO,1.044285565,6.52423E+11,0.013434442,0.014029394,Information Technology
AVY,0.00881129,18289649664,0.000376614,3.31845E-06,Materials
AWK,-0.287721896,24982153216,0.000514423,-0.000148011,Utilities
AXON,2.014362958,21555697664,0.000443867,0.000894109,Industrials
AXP,1.155179599,1.71324E+11,0.003527831,0.004075278,Financials
AZO,0.553002407,47881474048,0.000985957,0.000545237,Consumer Discretionary
BA,1.341384048,1.07135E+11,0.002206085,0.002959207,Industrials
BAC,1.35308302,3.10469E+11,0.006393055,0.008650335,Financials
BALL,0.466744029,21378834432,0.000440225,0.000205472,Materials
BAX,-0.294113159,17274763264,0.000355715,-0.000104621,Health Care
BBWI,-0.062104312,10798545920,0.00022236,-1.38095E-05,Consumer Discretionary
BBY,2.685628063,15469167616,0.000318535,0.000855467,Consumer Discretionary
BDX,-0.677235848,66121682944,0.001361553,-0.000922092,Health Care
BEN,0.864681237,12275896320,0.000252781,0.000218575,Financials
BG,1.367582162,14693313536,0.000302559,0.000413775,Consumer Staples
BIIB,-0.114647346,31712481280,0.000653012,-7.4866E-05,Health Care
BIO,-1.047375898,8155528704,0.000167936,-0.000175892,Health Care
BK,1.302928678,44188446720,0.000909912,0.00118555,Financials
BKNG,1.137058497,1.28767E+11,0.002651517,0.003014929,Consumer Discretionary
BKR,1.760451038,32515987456,0.000669557,0.001178722,Energy
BLDR,2.849245898,20883953664,0.000430035,0.001225274,Industrials
BLK,-0.337768583,1.1619E+11,0.002392548,-0.000808128,Financials
BMY,-0.722193622,83597606912,0.001721411,-0.001243192,Health Care
BR,-0.570186495,23699816448,0.000488018,-0.000278261,Industrials
BRO,0.280552125,25489850368,0.000524877,0.000147255,Financials
BSX,1.680559352,1.1119E+11,0.002289577,0.00384777,Health Care
BWA,1.738873329,8131537920,0.000167442,0.00029116,Consumer Discretionary
BX,0.430508307,1.49487E+11,0.003078179,0.001325182,Financials
BXP,-0.753006963,10451430400,0.000215212,-0.000162056,Real Estate
C,0.888608964,1.21275E+11,0.00249725,0.002219079,Financials
CAG,-0.525623668,14475748352,0.000298079,-0.000156677,Consumer Staples
CAH,0.353978477,23477424128,0.000483438,0.000171127,Health Care
CARR,2.020206811,59151437824,0.001218024,0.002460661,Industrials
CAT,-0.513264399,1.70631E+11,0.003513561,-0.001803386,Industrials
CB,0.638597871,1.07509E+11,0.002213779,0.001413715,Financials
CBOE,1.202814769,19199016960,0.000395339,0.00047552,Financials
CBRE,-0.171136935,26847100928,0.000552825,-9.46089E-05,Real Estate
CCI,-0.898898465,42635399168,0.000877932,-0.000789172,Real Estate
CCL,2.368067576,19820300288,0.000408132,0.000966485,Consumer Discretionary
CDNS,-0.139130496,80083599360,0.001649052,-0.000229433,Information Technology
CDW,-0.220239992,31054002176,0.000639452,-0.000140833,Information Technology
